11/02/2020,1000
12/02/2020,1000
13/02/2020,1000
14/02/2020,1000
15/02/2020,1000
16/02/2020,1000
17/02/2020,1000
18/02/2020,1000
19/02/2020,1000
20/02/2020,1000
21/02/2020,1000
22/02/2020,1000
23/02/2020,1000
24/02/2020,1000
25/02/2020,1000
26/02/2020,1000
27/02/2020,1000
28/02/2020,1000
29/02/2020,1000
01/03/2020,1000
02/03/2020,1000
03/03/2020,1000
04/03/2020,1000
05/03/2020,1000
06/03/2020,1000
07/03/2020,1000
08/03/2020,1000
09/03/2020,1000
10/03/2020,1000
11/03/2020,1000
12/03/2020,1000
13/03/2020,1000
14/03/2020,1000
